,Question,Option 1,Option 2,Option 3,Option 4,Answer,Difficulty
0,What is the smallest unit of matter?,Atom,Molecule,Element,Compound,Atom,1
1,Which of the following is NOT a state of matter?,Solid,Liquid,Gas,Plasma,Plasma,1
2,What is the chemical formula for water?,H2O,CO2,NaCl,CH4,H2O,1
3,Which of the following is a renewable energy source?,Coal,Oil,Natural Gas,Solar Power,Solar Power,1
4,What is the process by which plants convert light energy into chemical energy?,Photosynthesis,Respiration,Fermentation,Transpiration,Photosynthesis,1
5,What is the basic unit of heredity?,Gene,Chromosome,Nucleus,Cell,Gene,2
6,What is the process by which cells divide to produce two identical daughter cells?,Mitosis,Meiosis,Fertilization,Differentiation,Mitosis,2
7,Which of the following is NOT a type of tissue?,Epithelial,Connective,Nervous,Vascular,Vascular,2
8,What is the function of the circulatory system?,To transport blood throughout the body,To control bodily functions,To break down food,To filter waste,To transport blood throughout the body,2
9,What is the name of the force that pulls objects towards the center of the Earth?,Gravity,Friction,Magnetism,Electromagnetism,Gravity,2
10,What is the name of the process by which a substance changes from a liquid to a gas?,Evaporation,Condensation,Sublimation,Deposition,Evaporation,2
11,What is the name of the process by which a substance changes from a solid to a liquid?,Melting,Freezing,Sublimation,Deposition,Melting,2
12,What is the name of the process by which a substance changes from a gas to a liquid?,Condensation,Evaporation,Sublimation,Deposition,Condensation,2
13,What is the name of the process by which a substance changes from a solid to a gas?,Sublimation,Deposition,Melting,Freezing,Sublimation,3
14,What is the name of the process by which a substance changes from a gas to a solid?,Deposition,Sublimation,Melting,Freezing,Deposition,3
15,What is the pH of a neutral solution?,7,0,14,6,7,3
16,What is the name of the positively charged particle in an atom?,Proton,Neutron,Electron,Ion,Proton,3
17,What is the name of the negatively charged particle in an atom?,Electron,Proton,Neutron,Ion,Electron,3
18,What is the name of the neutral particle in an atom?,Neutron,Proton,Electron,Ion,Neutron,3
19,What is the process by which atoms combine to form molecules?,Chemical Bonding,Nuclear Fusion,Nuclear Fission,Radioactive Decay,Chemical Bonding,4
